제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
현대자동차(주),포터2 (HR),2023-03-07,2023-03-08,2023-04-10,현대자동차㈜에서는 포터2(HR) 일부 차량에서 변속 케이블 브라켓 체결 작업 불량으로 브라켓이 제대로 고정되지 않아 이탈됨으로써 변속레버 작동시 제대로 변속이 되지 않아 의도치 않게 차량이 이동하여 사고가 발생할 가능성이 있는 결함 사항이 확인되어 제작결함시정을 하고자 함
비엠더블유코리아(주),M240i xDrive Coupe,2023-03-14,2023-03-29,2023-04-26,무선 충전용 트레이 장치의 소프트웨어 오류로 디지털 키 사용 시 시동을 끈 상태에서 키를 차량 실내에서 제거하였음에도 키가 차량 실내에 있는 것으로 인식하여 탑승자가 창유리 또는 선루프를 작동시키는 경우 끼임방지기능이 작동되지 않습니다.
비엠더블유코리아(주),iX3 M Sport,2023-03-27,2023-04-07,2023-04-26,무선 충전용 트레이 장치의 소프트웨어 오류로 디지털 키 사용 시 시동을 끈 상태에서 키를 차량 실내에서 제거하였음에도 키가 차량 실내에 있는 것으로 인식하여 탑승자가 창유리 또는 선루프를 작동시키는 경우 끼임방지기능이 작동되지 않습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,2020-09-11,2020-10-28,2023-05-12,개발 공정 오류로 인하여 전방 차체 벽면 실링의 수밀성이 부족할 수 있어 비가 많이 오는 경우 차량 내부로 물이 유입될 수 있습니다.
메르세데스벤츠코리아(주),S 580 4MATIC,2020-07-09,2020-07-09,2023-05-12,개발 공정 오류로 인하여 전방 차체 벽면 실링의 수밀성이 부족할 수 있어 비가 많이 오는 경우 차량 내부로 물이 유입될 수 있습니다.
메르세데스벤츠코리아(주),S 500 4MATIC,2020-08-19,2020-10-03,2023-05-12,개발 공정 오류로 인하여 전방 차체 벽면 실링의 수밀성이 부족할 수 있어 비가 많이 오는 경우 차량 내부로 물이 유입될 수 있습니다.
메르세데스벤츠코리아(주),S 350 d,2020-07-15,2020-07-15,2023-05-12,개발 공정 오류로 인하여 전방 차체 벽면 실링의 수밀성이 부족할 수 있어 비가 많이 오는 경우 차량 내부로 물이 유입될 수 있습니다.
메르세데스벤츠코리아(주),GLC 220 d 4MATIC,2019-02-04,2019-02-05,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
메르세데스벤츠코리아(주),E 220 d Convertible,2018-04-03,2019-06-21,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
메르세데스벤츠코리아(주),E 220 d Coupe,2018-04-03,2019-06-27,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
메르세데스벤츠코리아(주),E 220 d 4MATIC,2018-04-03,2019-06-28,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
메르세데스벤츠코리아(주),E 220 d,2018-04-03,2019-06-28,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
메르세데스벤츠코리아(주),C 220 d 4MATIC Coupe,2018-08-31,2019-06-26,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
메르세데스벤츠코리아(주),C 220 d 4MATIC,2018-07-19,2019-06-29,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
메르세데스벤츠코리아(주),C 220 d,2018-04-12,2019-06-29,2023-05-12,"공급 업체의 생산 공정 변경에 따른 고압연료펌프 롤러의 강건성 부족으로 마모에 의해 이물질(쇳가루)이 발생하고, 발생된 이물질(쇳가루)은 유량 제어 밸브 또는 인젝터를 막아 연료 공급이 원활하지 않을 수 있습니다. "
포르쉐코리아 주식회사,마칸,2022-12-13,2022-12-13,2023-07-20,뒷 좌석안전띠 하부 고정 나사가 제대로 조여지지 않아 느슨해질 가능성이 있습니다.
포르쉐코리아 주식회사,마칸,2014-09-09,2014-09-09,2023-07-20,뒷 좌석안전띠 하부 고정 나사가 제대로 조여지지 않아 느슨해질 가능성이 있습니다.
현대자동차(주),투싼(TL),2015-03-06,2018-04-03,2023-08-31,"일부 차량에서 스마트 정션박스의 소프트웨어 오류로 인해 좌측 방향지시등 작동 시 일시적으로 우측 방향지시등이 점멸되어 후행 차량에 혼란을 야기하여 추돌로 인한 사고 발생 가능성이 있는 결함※ 스마트정션박스 : 차량의 전원 분배 기능, 조명 제어 및 각종 전자 제어 기능을 탑재한 부품"
스텔란티스코리아 주식회사,Peugeot e208 Electric,2022-02-09,2022-02-13,2023-04-20,"구동 모터를 감속기에 연결하는 슬리브에 윤활제가 부족한 상태로 제작되었음이 확인되었습니다. 슬리브에 윤활제가 부족할 경우 슬리브의 조기마모가 발생하고, 이로 인해 구동모터가 파손되어 주행 중 시동이 꺼질 가능성이 있습니다. "
화창상사(주),SCOUT ROGUE,2021-11-01,2021-11-01,2023-01-20, 연료 펌프(FUEL PUMP) 내 임펠러의 설계오류로 임펠러와케이스 간섭이 발생하고 이로 인해 연료 펌프가 작동이 되지 않아 주행중 시동 꺼짐 가능성
화창상사(주),SCOUT,2021-05-07,2022-02-14,2023-01-20, 연료 펌프(FUEL PUMP) 내 임펠러의 설계오류로 임펠러와케이스 간섭이 발생하고 이로 인해 연료 펌프가 작동이 되지 않아 주행중 시동 꺼짐 가능성
화창상사(주),SCOUT BOBBER TWENTY,2021-05-28,2022-02-17,2023-01-20, 연료 펌프(FUEL PUMP) 내 임펠러의 설계오류로 임펠러와케이스 간섭이 발생하고 이로 인해 연료 펌프가 작동이 되지 않아 주행중 시동 꺼짐 가능성
화창상사(주),SCOUT BOBBER,2021-05-28,2022-02-17,2023-01-20, 연료 펌프(FUEL PUMP) 내 임펠러의 설계오류로 임펠러와케이스 간섭이 발생하고 이로 인해 연료 펌프가 작동이 되지 않아 주행중 시동 꺼짐 가능성
화창상사(주),SUPER CHIEF LIMITED,2021-05-15,2022-05-03,2023-01-20, 연료 펌프(FUEL PUMP) 내 임펠러의 설계오류로 임펠러와케이스 간섭이 발생하고 이로 인해 연료 펌프가 작동이 되지 않아 주행중 시동 꺼짐 가능성
화창상사(주),CHIEF BOBBER DARK HORSE,2021-05-07,2022-08-09,2023-01-20, 연료 펌프(FUEL PUMP) 내 임펠러의 설계오류로 임펠러와케이스 간섭이 발생하고 이로 인해 연료 펌프가 작동이 되지 않아 주행중 시동 꺼짐 가능성
화창상사(주),CHIEF DARK HORSE ,2021-05-07,2022-07-11,2023-01-20, 연료 펌프(FUEL PUMP) 내 임펠러의 설계오류로 임펠러와케이스 간섭이 발생하고 이로 인해 연료 펌프가 작동이 되지 않아 주행중 시동 꺼짐 가능성
마스타전기차(주),마스타밴(MASTA VAN),2019-05-07,2021-02-25,2023-09-07,"마스타(MASTA) VAN 차량의 모터컨트롤러유닛(MCU) (+) 라인 와이어링의 제조불량으로 손상 및 일부 절단에 의해 전력공급이 차단되고, 주행불능 및 화재발생 가능성이 있음."
